,O2Conc
0,313.3435059587933
1,341.7662953238836
2,340.7782464294175
3,290.352691700642
4,616.9891860720546
5,732.6663920072657
6,343.4561733253416
7,525.5027593263052
8,514.6993330852407
9,344.7135384485218
10,681.5592714001621
11,458.87700812560126
12,469.55044433096435
13,282.93784593547645
14,836.9738524457618
15,274.503669885711
16,359.2669940616369
17,333.5063013739091
18,219.03865222158456
19,450.91245404177977
20,498.3664204177063
21,359.2669940616369
22,606.6422314810467
23,596.358850686687
24,263.4175788227832
25,892.4029153328969
26,585.8160758651193
27,497.64459879840194
28,118.59894122058235
29,315.5987571173467
30,654.3360743457074
31,378.2100163825389
32,383.37876728526663
33,238.9961568431553
34,238.53184878080918
35,489.46702003197356
36,168.6465793809612
37,350.4902894886507
38,310.4795766126986
39,248.0340141228241
40,462.8884797066442
41,558.8816178277232
42,175.2757504852943
43,657.8501530213138
44,274.99390461926487
45,372.52561439504365
46,290.6559284331385
47,87.1336316840387
48,410.9925872936891
49,506.0520916946575
50,325.35157427267404
51,341.55596483658434
52,374.6505722631794
53,843.9350474416337
54,213.1387646331905
55,399.1717336248448
56,583.3331105678103
57,651.4112879429564
58,482.13042061288303
59,753.8501563026233
60,282.57210972140587
61,200.34992620537346
62,275.1898206196232
63,263.5326856477664
64,336.22513070181594
65,335.6625902055605
66,31.162391604604185
67,588.4825789115225
68,173.7640449935944
69,545.1710592877544
70,436.5196363629986
71,224.72979263389865
72,338.8285402516435
73,383.5797956770159
74,584.8734399826271
75,257.6916793457174
76,325.7790973560426
77,218.45115243069378
78,398.47932314635557
79,344.8484377950523
80,348.60420160566184
81,299.5456844950394
82,509.63448893506626
83,356.25464400980087
84,407.51362674231234
85,425.62994162862816
86,243.8508001990397
87,309.27175852863576
88,278.1164205095813
89,473.7648851830655
90,410.9925872936891
91,274.60176769856406
92,409.31408149928836
93,376.0624249447531
94,699.2971093320824
95,568.7225555037675
96,648.1077685577295
97,611.797458219237
98,664.0741403294327
99,393.8343699624363
100,470.11605027167326
101,323.63512610321834
102,141.21681203580394
103,223.166490861441
104,248.7208769685226
105,396.1137308003691
106,510.3451074263028
107,584.449581599513
108,530.6712480408046
109,177.66576474972015
110,210.43835649914817
111,390.25597615046394
112,329.8283523973725
113,683.9708620525217
114,266.6516040468975
115,369.7337461099755
116,317.0161375773259
117,293.74608847846656
118,321.85091984621255
119,251.96708349101078
120,568.9759887819113
121,424.8293477424367
122,294.4555417651608
123,213.28219155645138
124,274.503669885711
125,407.51362674231234
126,242.28227443330982
127,396.1137308003691
128,480.92192370443655
129,174.3760393636594
130,210.2036958169489
131,572.2455056925194
132,848.2379266675482
133,384.03272094077977
134,305.6238804144453
135,242.69112242930288
136,504.77593035791915
137,157.53939719252756
138,735.3862532365666
139,170.6168810415457
140,326.85508423237275
141,473.02028280812686
142,229.3271678666625
143,372.9580781801434
144,458.87700812560126
145,300.5688522357163
146,278.42957244711806
147,484.83404127206643
148,495.3919494228925
149,603.0773113574875
150,254.33351815389065
151,372.52561439504365
152,338.42484788238903
153,502.4201095187962
154,339.19146113745234
155,462.4796381457797
156,348.7620671826354
157,395.37190435839364
158,219.98918910676198
159,569.0895065943163
160,140.53761391309163
161,184.60006894669303
162,242.28227443330982
163,305.0997419579654
164,368.68068086686577
165,538.2875826349263
166,502.4201095187962
167,499.8938211073746
168,661.6785432407893
169,661.6785432407893
170,595.4783975490725
171,343.4561733253416
172,680.3214495398715
173,249.04916363320166
174,323.9927098221303
175,274.7598419593921
176,220.53083994752134
177,279.0181309636972
178,605.9340087406381
179,200.59795377097464
180,288.71356018271484
181,213.54330421139795
182,300.1387778033106
183,249.04916363320166
184,355.0257086361579
185,166.91249213115736
186,395.28347617226115
187,541.0401050398642
188,547.4026649135693
189,230.9229485656743
190,327.7609845116629
191,487.37515570429383
192,615.2261276309265
193,316.33366999076173
194,425.62994162862816
195,651.0991259544309
196,344.7846738062409
197,143.79227197994993
198,335.1782739625052
199,194.99488413401608
200,369.0596197305038
201,271.05414008564077
202,252.11199388817246
203,288.77627843768505
204,117.9002925551757
205,439.6471731394713
206,443.99790589913977
207,975.8247553489024
208,632.4151100136926
209,719.0319658921734
210,238.53184878080918
211,192.38823740167712
212,430.4564061166779
213,160.6496652537979
214,365.32721201908043
215,190.02259948619977
216,496.0587711721166
217,520.1917193644043
218,274.4566276611828
219,553.3154142664082
220,267.1962059085713
221,698.5033706099572
222,271.05414008564077
223,275.0571144276777
224,314.609066917492
225,252.25472052293327
226,255.38370116749448
227,494.00593625292953
228,454.9222650694506
229,315.121926729526
230,473.02028280812686
231,376.2457487773344
232,176.48585585156033
233,281.9042573113106
234,388.6603696774381
235,615.2261276309265
236,159.8224286724849
237,336.7296880221887
238,311.05419002698306
239,185.65689300132271
240,375.7128343553692
241,458.87700812560126
242,216.07777393191108
243,586.342213485304
244,343.3020145221891
245,477.86308985141443
246,582.8999098113359
247,324.87108343359813
248,289.22809805952494
249,171.86467200598892
250,595.4783975490725
251,420.3446722654795
252,225.33611024471455
253,165.71796838469623
254,131.10149283388327
255,346.0153472972782
256,267.62090361810345
257,424.8293477424367
258,589.0841521071947
259,561.9182452142002
260,313.457589557471
261,237.4363244259169
262,176.4446373292442
263,333.5063013739091
264,613.596743368881
265,306.7221106715441
266,398.23874429548414
267,364.20727934677586
268,131.98593974278268
269,738.0569460145034
270,109.73604337640877
271,325.35157427267404
272,293.07838601037304
273,233.08806416674364
274,218.45115243069378
275,337.306735581261
276,559.355393844306
277,298.645457994601
278,275.9149775343731
279,454.12474490398176
280,235.7724589612277
281,654.6582697335148
282,336.22513070181594
283,905.4136270209084
284,541.0401050398642
285,309.8662731404458
286,250.385933159316
287,855.4087817597699
288,311.91439341238566
289,458.87700812560126
290,235.7724589612277
291,185.65689300132271
292,45.550908840645675
293,299.5456844950394
294,87.5907734844407
295,447.17821826745484
296,116.76450472231322
297,397.16728653449337
298,342.93034786273546
299,241.86146709916733
300,127.40343638067456
301,755.4804089719624
302,418.2476500151257
303,213.28219155645138
304,182.75073388365453
305,558.8816178277232
306,263.85808663767295
307,493.06223925691774
308,392.61200434648
309,387.85714492581087
310,430.61420996574816
311,172.9264667136566
312,376.2457487773344
313,520.0941215048232
314,309.27175852863576
315,59.247490350354624
316,458.87700812560126
317,291.29191788298806
318,582.8999098113359
319,462.57383144783654
320,189.16065531344822
321,198.38875745302192
322,339.58134768754303
323,352.8410826506362
324,576.0019185385146
325,300.01819195442187
326,299.3151652078805
327,147.0817478977701
328,712.128734804098
329,204.0138650411834
330,90.74754451871816
331,282.93784593547645
332,322.31926174957266
333,317.8787272475399
334,656.9437266889454
335,363.34582654632106
336,316.9222520498696
337,312.44157040629716
338,798.4131376924225
339,137.06644401121883
340,338.42484788238903
341,253.06786608719702
342,436.2642379796605
343,306.1644096303709
344,250.27115722874447
345,523.5967263217595
346,395.37190435839364
347,224.72979263389865
348,359.2669940616369
349,309.8662731404458
350,299.5456844950394
351,448.07220193391595
352,249.67761006366948
353,322.31926174957266
354,747.6561505738799
355,325.2800532626379
356,481.5100516433994
357,757.4174788952992
358,602.7895276276678
359,403.75943334374153
360,241.4281678989026
361,497.64459879840194
362,224.72979263389865
363,162.25699224298515
364,469.82594757750314
365,257.51033731574876
366,705.3223726257003
367,274.60176769856406
368,294.82716813662694
369,246.6962827976942
370,826.9101834259005
