,O2Conc
0,788.2416668655947
1,239.28071599494518
2,285.0650807577023
3,411.1060684199119
4,280.3222782753311
5,383.12920146439944
6,223.54624403425618
7,536.7024267669119
8,583.8308182665435
9,255.25238602269832
10,774.7546220068908
11,725.8208612028077
12,633.2208419564327
13,245.79168095142083
14,446.4183839216898
15,373.3685059397943
16,623.1168862647266
17,35.008133316394925
18,405.67421405876087
19,540.903135703174
20,605.8679547886566
21,549.122287266078
22,387.5695916761712
23,395.97501098359106
24,414.88909450484886
25,426.7993047204214
26,579.9986351868145
27,420.121111614849
28,239.71877118126537
29,578.920853040737
30,875.9398624023635
31,284.6451384778526
32,844.311440302107
33,579.9986351868145
34,794.3330259734956
35,724.1900371325088
36,239.28071599494518
37,379.45450486390877
38,669.6544573325245
39,371.6149633213204
40,314.0442155305099
41,358.15469419598077
42,152.4275291804802
43,423.3875783496292
44,470.500193450619
45,438.74101760716053
46,513.1443199724401
47,387.5695916761712
48,680.4735658240081
49,286.22800457667023
50,457.6901922205196
51,176.48974836058943
52,269.9479718031512
53,532.8593379995954
54,450.02219435142456
55,528.8492735590113
56,477.5838859457502
57,606.2786183577143
58,303.543818988259
59,98.6434965191415
60,832.8333015662397
61,642.7641520457204
62,192.09845068171384
63,264.43694188813726
64,296.27237547057297
65,450.02219435142456
66,309.7762150849066
67,224.7358350569729
68,275.13502656963215
69,502.6158724081701
70,391.8486496413767
71,157.76717436571528
72,714.0793616578576
73,218.2265197338727
74,260.15073897701166
75,269.9479718031512
76,885.312649996874
77,331.546669745225
78,691.8946640711993
79,421.19437064641284
80,181.798161609033
81,371.6149633213204
82,114.42784994794219
83,218.90693803144723
84,204.6463543527896
85,400.64491173619007
86,189.60660769253448
87,147.63292365512126
88,781.730513772989
89,644.5504070413875
90,354.88676301352064
91,604.9834528273144
92,466.04027905049594
93,830.5717128413099
94,321.15784586220644
95,579.9986351868145
96,162.1018634023937
97,942.8937814413598
98,385.43011292930794
99,305.8218025792913
100,475.852282777187
101,125.2266832051436
102,764.6402104224676
103,71.93818041851621
104,211.17511149652
105,470.500193450619
106,439.35519104603895
107,940.5281566831653
108,728.2891724385713
109,534.7390961856852
110,826.871011878444
111,227.62896365935953
112,429.10728554960895
113,877.5214753111837
114,480.2365971609238
115,517.8222026421204
116,176.73380881249537
117,258.5706059310365
118,242.81889418538836
119,663.5371872323627
120,300.8912149036091
121,487.75289177491857
122,342.9425758923314
123,766.8526740899978
124,546.2633959129151
125,236.3603839840145
126,309.7762150849066
127,338.23206971962776
128,129.69331248164454
129,766.8526740899978
130,334.6273336961078
131,745.1110478876402
132,480.05764280132604
133,926.5605386527086
134,195.71277130447402
135,269.9479718031512
136,950.9401319899976
137,528.8492735590113
138,475.1677015269562
139,250.07826026844631
140,433.338684944092
141,816.1395447725116
142,552.4100862061762
143,279.3539763398779
144,233.77706539911995
145,542.7710813197607
146,977.199932770406
147,685.5356039170902
148,187.5204485249038
149,245.11128390535336
150,450.02219435142456
151,800.0439213324509
152,714.0793616578576
153,463.73167462489596
154,286.48239548152236
155,426.04478097815564
156,350.41498381281525
157,192.5450932541048
158,158.81191197466316
159,144.59642722145549
160,546.6787041221515
161,528.2746702986412
162,439.06089926226525
163,977.199932770406
164,316.2132504529698
165,333.56676941499467
166,327.7820182262391
167,345.55024734495646
168,29.45701368089556
169,165.3369192677938
170,932.889439071175
171,214.26778959181146
172,538.5804215244736
173,237.8869133838375
174,385.54077480179666
175,805.755054960162
176,435.60752260529006
177,592.8094962329228
178,269.9479718031512
179,303.543818988259
180,287.2956154857178
181,186.43620733117487
182,419.254254702523
183,275.6370100628794
184,450.02219435142456
185,768.8048776149099
186,75.93187057591472
187,587.75891735462
188,337.14792858624537
189,331.546669745225
190,106.75243086080492
191,706.8959145936597
192,729.2456550107829
193,458.1911830488698
194,850.6365402346088
195,369.80889633043375
196,340.5087940961031
197,216.8097692230005
198,334.6273336961078
199,614.4921486515964
200,217.05125974846166
201,106.1593482528463
202,321.99751191074677
203,560.2645925152465
204,453.77626457092276
205,324.22229305399634
206,200.29402295366668
207,264.8362844111245
208,695.9414925903117
209,777.9155289129684
210,458.1911830488698
211,358.15469419598077
212,518.676541028272
213,392.09552245746545
214,195.017007150952
215,408.3368607939329
216,147.14808527737483
217,230.76325546088034
218,709.1609247643574
219,465.2052474177899
220,683.751816744052
221,593.6512775105108
222,205.3819733606357
223,823.6514834147933
224,287.5847615425517
225,730.3180828142002
226,114.10062590824379
227,291.3261914632034
228,133.8197043319136
229,383.36707585442366
230,349.02722001906744
231,87.30066474379137
232,826.871011878444
233,86.79836028793599
234,222.9276607966097
235,530.5320541391029
236,169.20997426351337
237,469.45307004418305
238,254.38798902686833
239,513.7051801147172
240,140.27601147112014
241,249.7944281826924
242,322.8651722480113
243,325.65085583194644
244,737.5729622057892
245,734.8336604923485
246,182.83488757268017
247,415.25998505053946
248,714.0793616578576
249,329.7429233970096
250,522.1183583064654
251,324.69026887089194
252,316.984471167231
253,264.43694188813726
254,314.0442155305099
255,431.70381056068226
256,474.6748051492295
257,923.4920861525698
258,385.3066824849251
259,217.5277152805567
260,486.0655243637112
261,891.6477249699832
262,439.62684556260035
263,435.147504917187
264,499.81478619259457
265,385.43011292930794
266,524.4663143717152
267,338.0323588645838
268,264.8362844111245
269,494.58624544575144
270,240.144488130794
271,218.90693803144723
272,325.94564048623215
273,543.574305779227
274,234.17017594537992
275,356.48988930088706
276,214.99076340029697
277,351.8523254557072
278,392.68587230397725
279,326.8490167743429
280,631.9578066827455
281,275.29221312169733
282,156.2169332876479
283,564.1920148341418
284,228.72799285688012
285,403.1120935262969
286,331.546669745225
287,236.58729943701724
288,145.2649183938363
289,308.53140673274436
290,644.5504070413875
291,224.7358350569729
292,200.29402295366668
293,494.58624544575144
294,281.9048688516893
295,326.64575658882154
296,185.1445838381727
297,317.33555069532906
298,364.4573535858817
299,200.24341526471034
300,210.41199390625474
301,77.397933794267
302,924.6853650664409
303,747.982808791842
304,398.26748777967725
305,392.3726251291138
306,95.59908282170291
307,379.0118776222394
308,264.90930717013913
309,187.5204485249038
310,298.86193507046755
311,225.8659561243591
312,768.8048776149099
313,484.81168380488964
314,118.86882516946442
315,446.4183839216898
316,677.5316126397197
317,349.02722001906744
318,977.199932770406
319,269.9479718031512
320,605.4367593680298
321,176.48974836058943
322,937.812119386582
323,292.34428536450974
324,303.543818988259
325,327.7820182262391
326,333.56676941499467
327,251.1379052656827
328,379.0118776222394
329,439.62684556260035
330,367.28277801135204
331,398.26748777967725
332,8.746287015180535
333,287.5847615425517
334,409.6349198833705
335,450.1755500940324
336,196.8441026982672
337,374.4955223315642
338,368.99102516049373
339,354.88676301352064
340,210.41199390625474
341,296.27237547057297
342,334.09266802971297
343,822.1758915062451
344,304.0857551901315
345,557.3419328198049
346,691.8946640711993
347,196.8441026982672
348,161.12928029933514
349,651.792220287659
350,492.491637697965
351,296.27237547057297
352,613.8112714727258
353,500.17202298131247
354,518.676541028272
355,605.4367593680298
356,542.7710813197607
357,341.8158196724396
358,632.1845044629441
359,204.12406726221533
360,542.7710813197607
361,773.2220873584654
362,903.8661972930391
363,816.1395447725116
364,233.64410179391433
365,235.66073037675832
366,481.7398230287946
367,605.8679547886566
368,241.95774184938307
369,286.48239548152236
370,309.14393006027746
371,488.8052059940205
372,302.50997742610383
373,314.0442155305099
374,788.2416668655947
375,56.54541314177158
376,623.1168862647266
377,157.12640591980121
378,882.6882047987352
379,882.6882047987352
380,465.2052474177899
381,641.7300150764561
382,734.3014596634888
383,280.8011114386311
384,321.15784586220644
385,365.6324578231107
386,399.956705812014
387,205.83337789509218
388,285.9813229394559
389,423.0979073908377
390,255.45368473837866
391,246.11808884524743
392,274.9158512566658
393,469.45307004418305
394,407.18304084056547
395,642.7641520457204
396,253.1531456632097
397,623.1168862647266
398,218.2265197338727
399,939.2186319765832
400,319.4605249863281
401,225.8659561243591
402,783.9501902583012
403,396.45080489256844
404,550.8035382128264
405,291.9943147302673
406,355.3084271622381
407,269.9479718031512
408,311.10402316017877
409,439.06089926226525
410,493.2753307175491
411,423.0979073908377
412,295.8852151399021
413,347.1257396272258
414,446.4183839216898
415,363.149230564468
416,788.9792779576445
417,139.50645175785493
418,422.18345996021776
419,310.4292338373611
420,412.46406573776886
421,318.0536707214103
422,325.94564048623215
423,214.53287954394318
424,499.81478619259457
425,515.5340878642228
426,237.4651075019982
427,280.4771246370806
428,639.957227030062
429,597.8602616064833
430,693.860251546399
431,406.782738234451
432,356.7082232136616
433,415.25998505053946
434,540.903135703174
435,573.7827060778772
436,215.695203099536
437,526.7075827690404
438,295.8852151399021
439,409.7737068047619
440,389.7898408798457
441,97.15876371170755
442,207.99892039317962
443,297.9439374277061
444,334.6273336961078
445,280.4771246370806
446,320.3448407951521
447,300.35765133744627
448,302.50997742610383
449,346.3905076351847
450,794.6791340613364
451,381.0324006756574
452,844.311440302107
453,387.5695916761712
454,523.2157675364942
455,249.2017219051153
456,472.72071571990347
457,232.3304283304753
458,762.4948252629717
459,255.04541722992238
460,990.8368152410598
461,848.3364700855959
462,368.99102516049373
463,605.4367593680298
464,90.44359777471792
465,464.43838612520864
466,549.122287266078
467,175.01976270929342
468,191.07441056031394
469,111.67874719246349
470,362.7987308291366
471,171.55187475648054
472,368.99102516049373
473,209.74194295197825
474,651.792220287659
475,88.76709918949571
476,413.98836451208683
477,361.1973210604819
478,840.0268612054543
479,737.8542990000842
480,153.80953496764553
481,805.4089188664434
482,926.5605386527086
483,309.7762150849066
484,649.6413617350617
485,339.2484598436256
486,309.7762150849066
487,415.25998505053946
488,220.27911072093372
489,246.74513777687434
490,505.29251951608967
491,547.360998918154
492,442.8146684899267
493,554.134207485963
494,964.0694030576174
495,690.0353505547394
496,286.22800457667023
497,394.1070953555374
498,325.94564048623215
499,225.2451842398365
500,716.7556442329388
501,450.02219435142456
502,212.76323474487674
503,177.3921640565473
504,310.4292338373611
505,381.0324006756574
506,453.77626457092276
507,173.78736268941157
508,460.54586453389845
509,397.714127791307
510,228.4586221374994
511,227.62896365935953
512,248.5730968449911
513,180.73646245308686
514,281.70557865912775
515,457.6901922205196
516,302.50997742610383
517,255.45368473837866
518,167.99671630575756
519,47.83054986747713
520,963.5644078208724
521,502.78672065811935
522,623.1168862647266
523,416.43564475169677
524,879.4303428071995
525,232.3304283304753
526,254.38798902686833
527,383.36707585442366
528,275.5467060179878
529,335.7238579631249
530,744.7296466755549
531,595.2019407934876
532,552.4100862061762
533,134.93313316627808
534,235.66073037675832
535,734.3014596634888
536,245.4562069843553
537,193.47739706481354
538,396.45080489256844
539,639.957227030062
540,953.5658855205951
541,623.1168862647266
542,413.7214826911018
543,259.5744530429833
544,572.6082995879724
545,613.8112714727258
546,325.65085583194644
