,O2Conc
0,424.3471177849781
1,949.9302401897618
2,457.6901922205196
3,330.7741003363345
4,505.29251951608967
5,589.4424229263301
6,297.5064563460814
7,495.2695995959587
8,136.84567667425915
9,473.8898256975338
10,227.62896365935953
11,817.1780370815004
12,225.2451842398365
13,716.2078628375397
14,469.45307004418305
15,291.3261914632034
16,559.6603837069459
17,316.2132504529698
18,854.9988483789015
19,453.48194174154804
20,454.09618140848664
21,481.7398230287946
22,285.7420053588381
23,614.6974932278507
24,295.5092778976026
25,469.74283924087246
26,227.45903423136085
27,378.5181796976254
28,297.9439374277061
29,383.12920146439944
30,811.8471934716398
31,777.9155289129684
32,385.3066824849251
33,623.1168862647266
34,650.321544117194
35,287.0157973036607
36,274.8468516938715
37,411.1060684199119
38,366.1763111381857
39,201.14324745837425
40,729.2456550107829
41,411.1060684199119
42,259.2601162853951
43,727.1639073829307
44,90.56008253218914
45,336.8582026707843
46,446.4183839216898
47,456.41409180054086
48,226.46972326621324
49,225.8659561243591
50,703.9694331567464
51,142.43045702647396
52,328.7461264188573
53,238.36538133389791
54,633.2208419564327
55,926.5605386527086
56,149.75778487897398
57,275.5467060179878
58,435.60752260529006
59,298.39553227153385
60,60.774473280434506
61,512.6535692349946
62,751.7684038729778
63,352.6401056540271
64,379.8535962287412
65,439.62684556260035
66,683.751816744052
67,286.48239548152236
68,178.5344460698552
69,275.8266487514368
70,259.41963037050135
71,370.76030364551673
72,369.80889633043375
73,12.439053850788754
74,148.07686153946756
75,877.5214753111837
76,569.3149090925343
77,208.23713216402913
78,375.18360006607173
79,251.3853893273153
80,353.34195001940117
81,200.41662193985886
82,486.5570899930394
83,385.54077480179666
84,392.09552245746545
85,311.80169020107456
86,762.4948252629717
87,405.67421405876087
88,505.29251951608967
89,544.5560309696832
90,232.82532876150353
91,326.8490167743429
92,280.0258585866512
93,661.3520007604942
94,512.6535692349946
95,274.9868222718948
96,963.5644078208724
97,477.13216126574247
98,651.792220287659
99,349.8308725159735
100,113.2765095790695
101,206.2785143830136
102,239.28071599494518
103,481.7398230287946
104,764.6402104224676
105,828.6019724568218
106,152.4275291804802
107,190.61058314935647
108,263.76016406725273
109,430.366200607913
110,339.1248982876568
111,303.018820342421
112,346.92522141892647
113,243.62863939376575
114,964.5383288731847
115,542.7710813197607
116,304.0857551901315
117,194.0687773235495
118,274.8468516938715
119,505.29251951608967
120,230.76325546088034
121,481.7398230287946
122,680.4735658240081
123,977.199932770406
124,457.6901922205196
125,321.15784586220644
126,231.29995647407833
127,747.982808791842
128,130.40369946570368
129,144.59642722145549
130,355.112135069086
131,659.3909656927668
132,214.0414936982544
133,436.4234068406911
134,623.1168862647266
135,313.3657039836093
136,280.4771246370806
137,720.7035129298046
138,246.8212062036829
139,435.60752260529006
140,374.4955223315642
141,741.0428230896575
142,375.80287298894586
143,632.1845044629441
144,392.3726251291138
145,480.2365971609238
146,202.32111895360572
147,964.9749164204962
148,112.57748623439993
149,160.259080236127
150,230.76325546088034
151,320.3448407951521
152,428.4007566674668
153,733.6694738673199
154,383.12920146439944
155,239.71877118126537
156,350.41498381281525
157,275.2124467890936
158,202.99355394411685
159,281.3262852247833
160,178.82781056860986
161,295.5092778976026
162,194.38750930414193
163,312.70775661026846
164,239.71877118126537
165,140.53236143914785
166,480.05764280132604
167,863.2876167904302
168,885.312649996874
169,216.07188415161977
170,356.6067170529326
171,698.1489040471253
172,338.0323588645838
173,544.5560309696832
174,385.43011292930794
175,115.93690299651584
176,368.99102516049373
177,172.2431663135325
178,429.10728554960895
179,269.9479718031512
180,89.87636907164986
181,576.5951415567521
182,586.8524229369683
183,225.8659561243591
184,169.20997426351337
185,555.4181417076952
186,133.74041504907476
187,422.18345996021776
188,166.47356532482988
189,722.6101948472624
190,794.9856876699624
191,274.77974256348585
192,906.3100225897233
193,264.52172528002757
194,275.6370100628794
195,335.2808167959198
196,244.0156516665125
197,248.24427873504567
198,716.7556442329388
199,613.2943114336518
200,336.097675065211
201,659.3909656927668
202,442.66132100427234
203,151.10764906994214
204,285.5097269314643
205,466.7950235681467
206,132.8506162545858
207,371.6149633213204
208,329.6509110636439
209,161.46397410779673
210,197.4919103730266
211,382.8627826390694
212,672.2403421541547
213,351.8523254557072
214,296.27237547057297
