,O2Conc
0,346.0153472972782
1,308.98127928076997
2,539.8025894056997
3,340.7782464294175
4,819.2420707547593
5,404.89918244893914
6,195.63104266640588
7,263.4175788227832
8,451.89559636128854
9,399.41317069675614
10,374.6505722631794
11,289.4967771918878
12,448.3405883037298
13,353.4412357511129
14,444.74165272798865
15,337.306735581261
16,267.3119353235199
17,469.55044433096435
18,325.12742663194535
19,547.0085307707988
20,463.40199408727733
21,498.7375057553043
22,255.86082926156232
23,745.7869943347977
24,534.9639305987583
25,186.2153201800813
26,448.07220193391595
27,355.7040383115427
28,410.0476369559597
29,405.07035800917515
30,244.21656915887107
31,360.7078105443333
32,497.07335581665535
33,219.7076958950473
34,387.85714492581087
35,182.10496642645376
36,141.21681203580394
37,190.02259948619977
38,765.2641234155985
39,677.3461634258343
40,289.4288653856359
41,210.82093596082365
42,206.05158457720933
43,654.3360743457074
44,380.009814944782
45,251.67050782100782
46,187.69487852661197
47,205.90268924875758
48,305.0997419579654
49,491.2161403286647
50,393.19830603970615
51,766.0435193839897
52,469.55044433096435
53,412.3433718997801
54,344.7135384485218
55,455.49057325673334
56,264.43114817556614
57,922.6254982239519
58,551.5951991463401
59,184.9873814991093
60,620.3269106006221
61,572.2455056925194
62,167.04858072229592
63,440.6393222403645
64,210.09190544738917
65,117.03322453060711
66,321.00346616687716
67,835.1517787607298
68,415.40888226065994
69,645.2080874048373
70,286.33422186464304
71,352.10307614197643
72,142.73446179180962
73,258.0401750924296
74,274.55203114283097
75,249.67761006366948
76,331.224298974526
77,356.25464400980087
78,507.91118220244283
79,575.8528439103216
80,195.94067913951253
81,378.2100163825389
82,444.74165272798865
83,478.9407424189201
84,242.28227443330982
85,477.86308985141443
86,248.38264670680348
87,227.0634313752187
88,310.4795766126986
89,535.4216019148035
90,139.31244027585805
91,93.35105483999803
92,126.5998561662887
93,246.3517654083706
94,631.5966293596439
95,364.20727934677586
96,428.32401845301274
97,356.87160203996893
98,422.1782117048191
99,385.7912138036213
100,335.1782739625052
101,491.2161403286647
102,171.66551665933497
103,393.19830603970615
104,260.3636035126978
105,256.3097610065485
106,289.7735196978296
107,372.2815276822488
108,282.93784593547645
109,190.87136067331394
110,394.0585602517351
111,394.689106128488
112,383.9124745020418
113,758.6360340742174
114,361.79994927113034
115,477.86308985141443
116,370.4485022085743
117,501.23426921605443
118,271.05414008564077
119,415.40888226065994
120,525.2727132339371
121,233.14051226801428
122,441.0979703858368
123,496.61002377402167
124,282.7521198497813
125,337.7626091448058
126,221.203816349406
127,203.10091445917297
128,108.86214150371696
129,604.7300755464192
130,448.3405883037298
131,333.98363184415126
132,254.04860390666258
133,687.1909668119634
134,255.86082926156232
135,358.4538088639691
136,579.4038759167814
137,648.1077685577295
138,271.05414008564077
139,404.7022147488636
140,196.3156884242703
141,323.9927098221303
142,722.8370791103467
143,702.4345102457573
144,688.9542139433452
145,355.7040383115427
146,292.44885419718815
147,428.4154392802019
148,274.6529390652809
149,119.12586906434777
150,712.128734804098
151,428.32401845301274
152,423.1066369288668
153,417.1578302491059
154,582.4992871403541
155,648.1077685577295
156,227.70042839303866
157,267.1962059085713
158,369.0596197305038
159,260.3636035126978
160,683.2470712617537
161,346.0153472972782
162,340.2411694458165
163,332.23021740157515
164,314.8873193486553
165,441.5341159250763
166,183.51675991505417
167,360.7078105443333
168,423.86583480694685
169,352.5442730860833
170,515.9371052210723
171,196.65337125951322
172,259.7158382484813
173,384.03272094077977
174,245.25714789370528
175,341.3237269639703
176,339.58134768754303
177,336.22513070181594
178,128.74839648026472
179,340.7782464294175
180,358.5306085658441
181,441.9493752697073
182,230.0740389124009
183,295.5495977227362
184,549.2020509915764
185,158.3873092079358
186,521.7967160001648
187,615.5675357138921
188,382.36716487272776
189,267.008537719057
190,299.5456844950394
191,209.06018561727515
192,455.13177233827105
193,216.87367466359103
194,406.2388483047588
195,428.4154392802019
196,677.3461634258343
197,625.7717368503943
198,203.10091445917297
199,352.4509908023214
200,274.8732904255876
201,277.9220192802783
202,162.06810216784848
203,480.36358706805584
204,449.6070291608411
205,212.64574082980712
206,312.44157040629716
207,248.0340141228241
208,583.8030316376878
209,312.44157040629716
210,135.04426772972923
211,399.95974536947756
212,532.7552854967463
213,232.0632353188716
214,367.41392325950136
215,681.5592714001621
216,240.72797608242666
217,337.306735581261
218,195.37105549620892
219,391.09940894257556
220,317.0932393617216
221,211.620529842251
222,281.9042573113106
223,282.7521198497813
224,138.11249944356476
225,616.9891860720546
226,271.05414008564077
227,335.6625902055605
228,275.0571144276777
229,164.79837377142914
230,410.0476369559597
231,237.561680514833
232,282.0638527823765
233,222.1346919232643
234,151.82953041931418
235,340.7782464294175
236,308.69518239393983
237,455.32019859982086
238,203.10091445917297
239,385.4913491287835
240,693.9968653052905
241,374.5073867534319
242,188.56338853359748
243,413.0613859574724
244,485.8234083770161
245,532.7552854967463
246,478.3870462180378
247,675.7504719918229
248,514.6993330852407
249,250.385933159316
250,605.9340087406381
251,83.9063790962045
252,299.08834615217523
253,506.97797457603957
254,263.5326856477664
255,353.9388609731669
256,364.2829489052873
257,156.16382465664768
258,271.05414008564077
259,192.88118917549588
260,237.6612942812997
261,124.37969323818085
262,307.2144363431275
263,142.4411273701372
264,294.09535528904814
265,222.44887021342726
266,503.67426017841655
267,578.8812986221939
268,185.3635956275323
269,225.83688724987474
270,172.9264667136566
271,267.3119353235199
272,330.5288726913209
273,310.4795766126986
274,372.2815276822488
275,582.4992871403541
276,569.0895065943163
277,100.3923540258237
278,537.5511537981278
279,156.8743382453493
280,293.575395936173
281,261.5209581527353
282,386.85988806247803
283,137.39989799334418
284,402.7130423888554
285,416.8979788777352
286,227.70042839303866
287,230.9229485656743
288,386.85988806247803
289,756.3778404278888
290,354.3581639298233
291,162.41703476468737
292,786.3162129996645
293,323.63512610321834
294,451.13062752442596
295,306.7221106715441
296,474.16738209509447
297,175.19115238023693
298,232.60941902898463
299,276.6825640624704
300,492.1679184300776
301,215.07931594335798
302,654.3360743457074
303,242.28227443330982
304,510.3451074263028
305,260.0492447562863
306,346.0153472972782
307,237.561680514833
308,514.6993330852407
309,565.4119592257715
310,165.2951417442664
311,422.0914139334006
312,294.82716813662694
313,399.0637977992912
314,314.8873193486553
315,225.83688724987474
316,423.1066369288668
317,263.7527938240378
318,474.16738209509447
319,238.05389355804058
320,467.5796241588647
321,451.13062752442596
322,380.1625310408377
323,212.7972752545921
324,348.463496164423
325,527.1588266662941
326,529.1552314146337
327,378.2100163825389
328,392.2205372045217
329,259.54144275919447
330,188.6778243754301
331,185.92668010870253
332,520.0941215048232
333,227.0634313752187
334,240.98181221150102
335,565.6595192647886
336,295.60699213531944
337,29.204182304725133
338,463.1297915545692
339,725.546618516844
340,410.2322436762689
341,300.01819195442187
342,612.0863859037148
343,256.3097610065485
344,447.49220892286684
345,260.0492447562863
346,289.4967771918878
347,259.54144275919447
348,61.49935089445005
349,227.0634313752187
350,534.9639305987583
351,193.49971782528863
352,107.57397516824906
353,523.4879972285722
354,212.48443099493417
355,535.4216019148035
356,121.79900087197979
357,368.68068086686577
358,249.97856180450523
359,407.51362674231234
360,670.0938296822136
361,246.3517654083706
362,353.4412357511129
363,455.22841659994964
364,231.69040859838074
365,325.12742663194535
366,289.4967771918878
367,529.1552314146337
368,227.0634313752187
369,227.0634313752187
370,169.3372960066556
371,329.73973374882763
372,191.8890291537591
373,289.4967771918878
374,312.962965106207
375,420.16886041736166
376,688.1267098908336
377,370.76250551661144
378,623.6112302230774
379,516.654535597446
380,151.82953041931418
381,539.8025894056997
382,190.87136067331394
383,428.4154392802019
384,355.93259015942624
385,193.4082955007422
386,535.4216019148035
387,538.6017988002371
388,357.7346553856268
389,331.6991494867623
390,313.1396949739593
391,413.810256751294
392,402.7130423888554
393,157.13526636521388
394,308.7764829770669
395,398.47932314635557
396,380.1625310408377
397,349.9668633829581
398,629.1208863700641
399,469.55044433096435
400,579.1326886251926
401,487.89739980278034
402,263.5326856477664
403,321.85091984621255
404,271.05414008564077
405,264.25054555435196
406,176.40043473572135
407,421.2003074191068
408,441.9493752697073
409,155.48152498747885
410,235.2663836572225
411,435.64499509749936
412,50.875402887619046
413,351.717733234003
414,255.38370116749448
415,575.8528439103216
416,436.2642379796605
417,365.32721201908043
418,300.1387778033106
419,249.67761006366948
420,260.94135417846815
421,313.530509241919
422,274.503669885711
423,702.4345102457573
424,419.4492712058345
425,206.61123353259725
426,349.74853139871306
427,224.10717677027813
428,477.3665399288416
429,194.99488413401608
430,462.4796381457797
431,260.2867096408556
432,410.69591302593506
433,206.05158457720933
434,404.89918244893914
435,825.5023769206583
436,98.91525190261574
437,155.48152498747885
438,352.10307614197643
439,171.45220090734637
440,275.0571144276777
441,383.5797956770159
442,241.4281678989026
443,722.8370791103467
444,299.08834615217523
445,374.3521985866583
446,380.1625310408377
447,341.0659709533543
448,196.65337125951322
449,579.1326886251926
450,327.51101659941986
451,112.09573060361988
452,214.6271970766633
453,412.3433718997801
454,167.39519336498094
455,154.09232155830207
456,434.8944180380172
457,254.04860390666258
458,705.0040094682179
459,702.4345102457573
460,494.00593625292953
461,476.89530094270236
462,372.9580781801434
463,421.2003074191068
464,371.0520898130675
465,448.07220193391595
466,178.85577159477495
467,370.76250551661144
468,398.47932314635557
469,444.379311791348
470,242.28227443330982
471,289.4967771918878
472,370.4485022085743
473,253.06786608719702
474,458.87700812560126
475,221.4398407787169
476,593.0705098251888
477,302.7006559615965
478,246.6962827976942
479,562.6453791043343
480,585.3277996580259
481,362.50016067662125
482,192.92376273718992
483,325.97767262586547
484,200.34992620537346
485,208.4825732341477
486,248.38264670680348
487,128.8863007990014
488,182.87708163330427
489,545.2984605528509
490,402.7130423888554
491,366.9746453069416
492,162.5857113901625
493,686.1242618187706
494,190.26554662505893
495,654.3360743457074
496,264.25054555435196
497,445.41458541231566
498,353.8730407939482
499,592.3045811777205
500,293.74608847846656
501,380.009814944782
502,438.44289998444145
503,203.10091445917297
504,690.3518376569032
505,339.9290894326741
506,177.66576474972015
507,698.1413225995256
508,181.83991742718766
509,60.40830310134654
510,108.99465745120229
511,290.6559284331385
512,263.64437396178977
513,616.7085908639223
514,451.71887681758403
515,156.16382465664768
516,249.97856180450523
