,O2Conc
0,684.5738419334587
1,466.83538223966434
2,248.11808001674964
3,314.8573953148442
4,500.82366100719076
5,397.4209575914226
6,639.2805467666241
7,414.07957290040383
8,409.0287838982342
9,697.7737520439424
10,983.0699317893896
11,654.0407833451231
12,312.9035089281984
13,322.7166487070367
14,530.8308876445973
15,611.54033088939
16,859.16045852393
17,680.6810603213379
18,710.2335532731136
19,444.72452739787644
20,699.0172651931065
21,582.3127260128476
22,782.5391625437688
23,170.8574096390517
24,922.3245162146496
25,501.09876300903187
26,723.7622183336862
27,685.5404411411486
28,375.5268857538769
29,393.05486251791297
30,386.46303826555715
31,496.12096034993
32,213.83826419485158
33,458.8096878125167
34,519.7946621805313
35,189.37719656971504
36,180.08250099140443
37,402.1595317318324
38,707.157253870213
39,901.7604455753183
40,213.83826419485158
41,605.4101178438832
42,875.3394763120833
43,496.12096034993
44,303.30963865242575
45,134.2660157186414
46,303.6894566650929
47,68.82807644146956
48,482.10768538351005
49,469.1555017735647
50,473.15781139355784
51,664.5864676851924
52,369.5475067142286
53,678.9752577257132
54,482.10768538351005
55,516.2879783100674
56,552.7179858031034
57,639.2805467666241
58,269.6666889930713
59,443.39764263059106
60,536.7497509063729
61,80.28614819141582
62,646.2988592049207
63,157.29517207211453
64,458.8096878125167
65,460.7484506590705
66,226.60489349142821
67,586.8244571853785
68,649.1849632380653
69,768.558349943006
70,690.334392893856
71,728.730005244279
72,606.7184424380872
73,446.75742971685753
74,476.8063869432364
75,709.5260735521513
76,568.7681147771576
77,316.691160136672
78,453.9274927848242
79,576.3170248672698
80,974.9153449183842
81,231.31681638533846
82,817.7078859406389
83,559.4155053963888
84,511.33128879870986
85,132.06695915204656
86,483.3358837412965
87,290.42226801232044
88,298.907001640988
89,358.8521137667223
90,322.7166487070367
91,510.4759671210129
92,892.3433091252688
93,516.2879783100674
94,563.5981479303834
95,595.1699581550506
96,490.41220437087287
97,299.32827169095316
98,440.17569707786384
99,103.36961840188505
100,535.5724537386153
101,500.82366100719076
102,792.0218835247118
103,445.4205139140424
104,817.7078859406389
105,335.7539326944438
106,274.2671441100961
107,477.8435533729082
108,430.94649344229936
109,609.4810254600932
110,708.4060304349443
111,472.52093876665947
112,196.48820261246365
113,901.7604455753183
114,598.4901887135383
115,609.2331835281777
116,782.8496896772699
117,381.8869955551609
118,469.1555017735647
119,711.8786952546221
120,405.11515140503735
121,469.1555017735647
122,467.6518795172829
123,477.8435533729082
124,569.1105012449702
125,281.93194200640585
126,616.3037810669567
127,541.5723018808145
128,233.66442198377035
129,351.85273044946274
130,697.5166029036736
131,826.6638205304148
132,539.3285195513187
133,767.2013958046361
134,839.9980642114208
135,346.33947746724573
136,386.46303826555715
137,353.0603006461859
138,680.6810603213379
139,500.82366100719076
140,817.7078859406389
141,776.3149096991232
142,506.0218962519827
143,313.3664489827564
144,963.3838857683417
145,690.334392893856
146,156.5281791879452
147,573.8743815792246
148,629.9024651110883
149,573.8743815792246
150,219.55279027665335
151,263.03577688511274
152,634.4327205178057
153,859.16045852393
154,971.140181864416
155,259.4625404817775
156,331.44345295533935
157,307.4731858861272
158,615.3922216585976
159,831.1788642680361
160,605.4101178438832
161,734.1106526003582
162,345.28718862477194
163,500.95730306304205
164,182.30847076310866
165,616.3037810669567
166,549.4909290051786
167,978.6242609023781
168,675.7549017420695
169,389.01898887544195
170,716.5360047780083
171,804.1957504231225
172,440.17569707786384
173,409.0287838982342
174,325.71816606992763
175,573.8743815792246
176,776.3149096991232
177,469.1555017735647
178,395.49253440420637
179,202.92735500820294
180,388.4397867754245
181,844.3054784155594
182,716.5360047780083
183,716.5360047780083
184,697.5166029036736
185,654.0407833451231
186,411.94381342646295
187,205.56982660931692
