,O2Conc
0,296.570416623387
1,191.07441056031394
2,185.32306199352507
3,449.88086666251473
4,243.22990062313883
5,163.79605696196623
6,185.1445838381727
7,320.3448407951521
8,708.871123391706
9,475.852282777187
10,650.321544117194
11,515.5340878642228
12,900.147416390193
13,160.7003077442145
14,977.199932770406
15,140.68104464110482
16,578.920853040737
17,190.1909311348035
18,89.0292951966878
19,345.55024734495646
20,522.1183583064654
21,291.9943147302673
22,398.26748777967725
23,114.84233485730806
24,405.67421405876087
25,757.3164479106696
26,991.3823187791925
27,173.34842838179844
28,446.4183839216898
29,588.6211981076759
30,675.1305065555614
31,230.76325546088034
32,672.2403421541547
33,238.82977829984898
34,211.17511149652
35,328.7461264188573
36,844.311440302107
37,111.31925323205817
38,420.121111614849
39,550.597571886219
40,406.782738234451
41,536.8939727229802
42,461.1345412419337
43,368.99102516049373
44,708.871123391706
45,145.7532662862991
46,475.852282777187
47,255.04541722992238
48,249.50236969555445
49,297.08243755756206
50,435.147504917187
51,287.0157973036607
52,415.71150533399987
53,672.2403421541547
54,431.70381056068226
55,737.5729622057892
56,269.9479718031512
57,522.1183583064654
58,811.1094591458307
59,218.90693803144723
60,579.9986351868145
61,724.1900371325088
62,286.74486278456214
63,373.3685059397943
64,203.83028165140803
65,181.798161609033
66,246.4357932775593
67,248.89210024534168
68,409.6349198833705
69,269.9479718031512
70,499.4039650393797
71,173.78736268941157
72,350.41498381281525
73,404.6866273654438
74,550.597571886219
75,538.9462676604057
76,525.9044573702348
77,211.98004836953618
78,264.52172528002757
79,429.10728554960895
80,255.04541722992238
81,387.5695916761712
82,377.59773070171804
83,364.0371672503857
84,335.7238579631249
85,399.05029354059064
86,781.730513772989
87,174.18294666906064
88,254.1557639003465
89,457.6901922205196
90,234.68122134678097
91,379.45450486390877
92,376.4688866225035
93,370.76030364551673
94,100.61240623045389
95,378.5181796976254
96,409.7737068047619
97,582.0038338713118
98,214.99076340029697
99,454.44518244872535
100,264.2591704308021
101,311.80169020107456
102,188.94332465233845
103,613.8112714727258
104,198.4707902069565
105,502.6158724081701
106,550.8035382128264
107,181.798161609033
108,398.88469964036904
109,275.3744338517387
110,193.29273735052226
111,331.8414671183457
112,238.36538133389791
113,331.8414671183457
114,106.96288014738941
115,489.5902710830935
116,835.456791293566
117,217.5277152805567
118,426.04478097815564
119,228.72799285688012
120,372.5939436989412
121,172.68246178139648
122,471.64705209760564
123,110.09029265552212
124,269.9479718031512
125,369.80889633043375
126,275.6370100628794
127,138.2286094363645
128,510.64597092183027
129,224.60667895889122
130,285.7420053588381
131,204.98996536995332
132,124.33979031340444
133,378.5181796976254
134,325.94564048623215
135,614.2765371782815
136,181.798161609033
137,517.0703892775672
138,693.860251546399
139,835.456791293566
140,673.6441286669532
141,777.9155289129684
142,241.50633351930566
143,57.831774885541165
144,311.10402316017877
145,754.5265462256493
146,259.41963037050135
147,401.53141938913285
148,420.26023731023946
149,128.93557043876194
150,323.63223887353433
151,114.53927049885135
152,303.543818988259
153,205.3819733606357
154,744.7296466755549
155,161.12928029933514
156,209.6287987073222
157,147.14808527737483
