,O2Conc
0,832.8333015662397
1,642.7641520457204
2,192.09845068171384
3,264.43694188813726
4,296.27237547057297
5,450.02219435142456
6,309.7762150849066
7,224.7358350569729
8,275.13502656963215
9,502.6158724081701
10,391.8486496413767
11,157.76717436571528
12,714.0793616578576
13,885.312649996874
14,331.546669745225
15,691.8946640711993
16,421.19437064641284
17,181.798161609033
18,371.6149633213204
19,114.42784994794219
20,218.90693803144723
21,204.6463543527896
22,400.64491173619007
23,170.0491506566661
24,781.730513772989
25,644.5504070413875
26,354.88676301352064
27,604.9834528273144
28,466.04027905049594
29,830.5717128413099
30,321.15784586220644
31,579.9986351868145
32,162.1018634023937
33,942.8937814413598
34,385.43011292930794
35,305.8218025792913
36,71.93818041851621
37,211.17511149652
38,470.500193450619
39,439.35519104603895
40,940.5281566831653
41,728.2891724385713
42,534.7390961856852
43,826.871011878444
44,227.62896365935953
45,429.10728554960895
46,877.5214753111837
47,480.2365971609238
48,258.5706059310365
49,242.81889418538836
50,663.5371872323627
51,300.8912149036091
52,487.75289177491857
53,342.9425758923314
54,766.8526740899978
55,546.2633959129151
56,236.3603839840145
57,309.7762150849066
58,338.23206971962776
59,129.69331248164454
60,745.1110478876402
61,480.05764280132604
62,926.5605386527086
63,195.71277130447402
64,269.9479718031512
65,950.9401319899976
66,528.8492735590113
67,475.1677015269562
68,250.07826026844631
69,433.338684944092
70,816.1395447725116
71,552.4100862061762
72,977.199932770406
73,685.5356039170902
74,187.5204485249038
75,245.11128390535336
76,450.02219435142456
77,800.0439213324509
78,714.0793616578576
79,463.73167462489596
80,286.48239548152236
81,426.04478097815564
82,350.41498381281525
83,326.39371437866544
84,546.6787041221515
85,528.2746702986412
86,439.06089926226525
87,977.199932770406
88,316.2132504529698
89,333.56676941499467
90,327.7820182262391
91,345.55024734495646
92,29.45701368089556
93,165.3369192677938
94,932.889439071175
95,214.26778959181146
96,512.0226065890706
97,805.755054960162
98,435.60752260529006
99,592.8094962329228
100,269.9479718031512
101,303.543818988259
102,287.2956154857178
103,186.43620733117487
104,419.254254702523
105,275.6370100628794
106,450.02219435142456
107,768.8048776149099
108,75.93187057591472
109,587.75891735462
110,337.14792858624537
111,215.695203099536
112,729.2456550107829
113,458.1911830488698
114,850.6365402346088
115,369.80889633043375
116,340.5087940961031
117,216.8097692230005
118,334.6273336961078
119,614.4921486515964
120,217.05125974846166
121,106.1593482528463
122,321.99751191074677
123,560.2645925152465
124,453.77626457092276
125,145.80966714130338
126,695.9414925903117
127,777.9155289129684
